V1.V,V(V_D),I(D1.nK),
-10,-5.046075777570146,0.004953924222429853,
-9.99,-5.046014243384348,0.004943985756615653,
-9.98,-5.045952606016199,0.004934047393983802,
-9.97,-5.045890865052844,0.004924109134947157,
-9.96,-5.04582902007895,0.00491417097992105,
-9.95,-5.045767070676687,0.004904232929323312,
-9.94,-5.045705016425705,0.004894294983574295,
-9.93,-5.045642856903114,0.0048843571430968865,
-9.92,-5.045580591683466,0.004874419408316534,
-9.91,-5.045518220338736,0.004864481779661264,
-9.9,-5.045455742438294,0.004854544257561706,
-9.89,-5.045393157548892,0.0048446068424511084,
-9.88,-5.045330465234636,0.0048346695347653654,
-9.87,-5.0452676650569686,0.004824732334943031,
-9.86,-5.045204756574647,0.004814795243425352,
-9.85,-5.04514173934372,0.004804858260656281,
-9.84,-5.045078612917504,0.004794921387082497,
-9.83,-5.045015376846564,0.004784984623153436,
-9.82,-5.044952030678692,0.004775047969321309,
-9.81,-5.044888573958877,0.004765111426041124,
-9.8,-5.04482500622929,0.004755174993770711,
-9.79,-5.044761327029256,0.004745238672970743,
-9.78,-5.044697535895233,0.004735302464104766,
-9.77,-5.044633632360784,0.004725366367639216,
-9.76,-5.044569615956559,0.004715430384043442,
-9.75,-5.044505486210264,0.004705494513789736,
-9.74,-5.044441242646644,0.004695558757353357,
-9.73,-5.04437688478745,0.00468562311521255,
-9.72,-5.044312412151422,0.004675687587848579,
-9.71,-5.0442478242542546,0.0046657521757457465,
-9.7,-5.044183120608581,0.004655816879391418,
-9.69,-5.04411830072394,0.00464588169927606,
-9.68,-5.044053364106753,0.004635946635893247,
-9.67,-5.0439883102602945,0.004626011689739705,
-9.66,-5.043923138684673,0.004616076861315327,
-9.65,-5.043857848876793,0.004606142151123208,
-9.64,-5.0437924403303365,0.0045962075596696645,
-9.63,-5.043726912535731,0.00458627308746427,
-9.62,-5.043661264980124,0.004576338735019875,
-9.61,-5.0435954971473524,0.004566404502852647,
-9.6,-5.043529608517916,0.004556470391482083,
-9.59,-5.04346359856895,0.00454653640143105,
-9.58,-5.043397466774189,0.004536602533225811,
-9.57,-5.043331212603945,0.004526668787396055,
-9.56,-5.043264835525077,0.004516735164474923,
-9.55,-5.043198335000958,0.004506801664999042,
-9.54,-5.043131710491443,0.004496868289508556,
-9.53,-5.043064961452845,0.004486935038547155,
-9.52,-5.042998087337895,0.004477001912662104,
-9.51,-5.04293108759572,0.004467068912404279,
-9.5,-5.042863961671806,0.004457136038328194,
-9.49,-5.0427967090079635,0.004447203290992036,
-9.48,-5.042729329042301,0.004437270670957699,
-9.47,-5.0426618212091885,0.004427338178790811,
-9.46,-5.042594184939226,0.004417405815060775,
-9.45,-5.042526419659207,0.004407473580340793,
-9.44,-5.042458524792088,0.004397541475207912,
-9.43,-5.042390499756954,0.0043876095002430456,
-9.42,-5.042322343968981,0.004377677656031019,
-9.41,-5.042254056839403,0.004367745943160597,
-9.4,-5.042185637775478,0.004357814362224523,
-9.39,-5.042117086180446,0.004347882913819554,
-9.38,-5.042048401453504,0.004337951598546498,
-9.37,-5.041979582989755,0.004328020417010245,
-9.36,-5.041910630180182,0.004318089369819818,
-9.35,-5.041841542411608,0.004308158457588392,
-9.34,-5.041772319066654,0.004298227680933346,
-9.33,-5.041702959523706,0.004288297040476294,
-9.32,-5.041633463156872,0.004278366536843129,
-9.31,-5.041563829335945,0.004268436170664056,
-9.3,-5.041494057426362,0.004258505942573639,
-9.29,-5.041424146789166,0.004248575853210834,
-9.28,-5.041354096780963,0.004238645903219037,
-9.27,-5.041283906753882,0.004228716093246118,
-9.26,-5.041213576055533,0.004218786423944467,
-9.25,-5.041143104028966,0.004208856895971034,
-9.24,-5.041072490012627,0.004198927509987373,
-9.23,-5.041001733340316,0.004188998266659684,
-9.22,-5.040930833341143,0.004179069166658858,
-9.21,-5.040859789339483,0.004169140210660518,
-9.2,-5.040788600654934,0.004159211399345065,
-9.19,-5.04071726660227,0.0041492827333977295,
-9.18,-5.040645786491395,0.0041393542135086045,
-9.17,-5.040574159627298,0.004129425840372701,
-9.16,-5.040502385310007,0.004119497614689993,
-9.15,-5.040430462834538,0.004109569537165462,
-9.14,-5.040358391490852,0.004099641608509149,
-9.13,-5.040286170563803,0.004089713829436198,
-9.12,-5.04021379933309,0.004079786200666909,
-9.11,-5.04014127707321,0.00406985872292679,
-9.1,-5.040068603053403,0.004059931396946596,
-9.09,-5.039995776537606,0.004050004223462394,
-9.08,-5.039922796784397,0.004040077203215603,
-9.07,-5.039849663046947,0.004030150336953053,
-9.06,-5.039776374572965,0.004020223625427035,
-9.05,-5.039702930604648,0.0040102970693953535,
-9.04,-5.039629330378618,0.0040003706696213805,
-9.03,-5.039555573125883,0.003990444426874117,
-9.02,-5.0394816580717645,0.0039805183419282355,
-9.01,-5.039407584435853,0.003970592415564147,
-9,-5.039333351431949,0.003960666648568051,
-8.99,-5.039258958268005,0.003950741041731996,
-8.98,-5.039184404146062,0.0039408155958539385,
-8.97,-5.039109688262203,0.003930890311737798,
-8.96,-5.039034809806481,0.00392096519019352,
-8.95,-5.038959767962867,0.003911040232037133,
-8.94,-5.038884561909184,0.0039011154380908146,
-8.93,-5.038809190817051,0.0038911908091829486,
-8.92,-5.0387336538518115,0.003881266346148188,
-8.91,-5.03865795017248,0.0038713420498275204,
-8.9,-5.03858207893167,0.0038614179210683308,
-8.89,-5.038506039275535,0.003851493960724466,
-8.88,-5.038429830343698,0.0038415701696563028,
-8.87,-5.038353451269189,0.0038316465487308105,
-8.86,-5.0382769011783735,0.0038217230988216258,
-8.85,-5.038200179190889,0.0038117998208091115,
-8.84,-5.038123284419568,0.003801876715580432,
-8.83,-5.038046215970379,0.0037919537840296214,
-8.82,-5.037968972942345,0.003782031027057656,
-8.81,-5.037891554427477,0.003772108445572523,
-8.8,-5.037813959510703,0.003762186040489298,
-8.79,-5.037736187269786,0.0037522638127302126,
-8.78,-5.03765823677526,0.0037423417632247388,
-8.77,-5.037580107090346,0.0037324198929096536,
-8.76,-5.0375017972708775,0.0037224982027291224,
-8.75,-5.037423306365226,0.0037125766936347746,
-8.74,-5.037344633414216,0.003702655366585784,
-8.73,-5.037265777451054,0.0036927342225489463,
-8.72,-5.037186737501238,0.003682813262498763,
-8.71,-5.037107512582481,0.0036728924874175196,
-8.7,-5.03702810170463,0.0036629718982953696,
-8.69,-5.036948503869574,0.0036530514961304254,
-8.68,-5.036868718071169,0.003643131281928831,
-8.67,-5.036788743295142,0.003633211256704858,
-8.66,-5.03670857851901,0.0036232914214809897,
-8.65,-5.03662822271199,0.003613371777288011,
-8.64,-5.036547674834904,0.0036034523251650963,
-8.63,-5.036466933840097,0.0035935330661599043,
-8.62,-5.036385998671335,0.003583614001328664,
-8.61,-5.03630486826372,0.003573695131736279,
-8.6,-5.036223541543588,0.003563776458456411,
-8.59,-5.036142017428418,0.0035538579825715824,
-8.58,-5.036060294826729,0.003543939705173271,
-8.57,-5.035978372637987,0.0035340216273620135,
-8.56,-5.0358962497525015,0.003524103750247499,
-8.55,-5.035813925051324,0.003514186074948677,
-8.54,-5.035731397406145,0.003504268602593854,
-8.53,-5.03564866567919,0.0034943513343208095,
-8.52,-5.035565728723114,0.0034844342712768857,
-8.51,-5.035482585380892,0.0034745174146191076,
-8.5,-5.035399234485713,0.003464600765514287,
-8.49,-5.0353156748608665,0.0034546843251391343,
-8.48,-5.035231905319631,0.003444768094680369,
-8.47,-5.035147924665166,0.003434852075334835,
-8.46,-5.035063731690385,0.003424936268309616,
-8.45,-5.034979325177851,0.0034150206748221486,
-8.44,-5.034894703899649,0.0034051052961003507,
-8.43,-5.034809866617272,0.003395190133382728,
-8.42,-5.034724812081494,0.003385275187918506,
-8.41,-5.034639539032249,0.003375360460967751,
-8.4,-5.034554046198506,0.0033654459538014943,
-8.39,-5.034468332298139,0.003355531667701862,
-8.38,-5.0343823960378,0.0033456176039622014,
-8.37,-5.0342962361127865,0.003335703763887213,
-8.36,-5.03420985120691,0.0033257901487930897,
-8.35,-5.03412323999236,0.00331587676000764,
-8.34,-5.034036401129567,0.0033059635988704327,
-8.33,-5.0339493332670635,0.0032960506667329362,
-8.32,-5.033862035041345,0.0032861379649586557,
-8.31,-5.033774505076721,0.0032762254949232797,
-8.3,-5.0336867419851785,0.003266313258014822,
-8.29,-5.033598744366227,0.003256401255633772,
-8.28,-5.033510510806753,0.003246489489193246,
-8.27,-5.0334220398808664,0.003236577960119133,
-8.26,-5.033333330149747,0.003226666669850253,
-8.25,-5.033244380161488,0.0032167556198385125,
-8.24,-5.033155188450936,0.0032068448115490644,
-8.23,-5.033065753539532,0.0031969342464604686,
-8.22,-5.032976073935146,0.0031870239260648548,
-8.21,-5.032886148131911,0.00317711385186809,
-8.2,-5.032795974610054,0.0031672040253899456,
-8.19,-5.0327055518357255,0.003157294448164274,
-8.18,-5.032614878260825,0.0031473851217391755,
-8.17,-5.032523952322823,0.0031374760476771775,
-8.16,-5.032432772444584,0.0031275672275554163,
-8.15,-5.032341337034183,0.0031176586629658165,
-8.14,-5.032249644484721,0.00310775035551528,
-8.13,-5.032157693174134,0.0030978423068258668,
-8.12,-5.032065481465006,0.003087934518534993,
-8.11,-5.031973007704374,0.003078026992295625,
-8.1,-5.031880270223529,0.0030681197297764704,
-8.09,-5.031787267337819,0.0030582127326621807,
-8.08,-5.031693997346442,0.003048306002653558,
-8.07,-5.0316004585322425,0.0030383995414677576,
-8.06,-5.0315066491615,0.0030284933508385003,
-8.05,-5.0314125674837165,0.003018587432516284,
-8.04,-5.031318211731399,0.0030086817882685997,
-8.03,-5.031223580119841,0.0029987764198801583,
-8.02,-5.031128670846895,0.0029888713291531047,
-8.01,-5.031033482092749,0.002978966517907251,
-8,-5.030938012019694,0.0029690619879803063,
-7.99,-5.030842258771888,0.0029591577412281123,
-7.98,-5.03074622047512,0.002949253779524881,
-7.97,-5.030649895236563,0.0029393501047634374,
-7.96,-5.03055328114453,0.0029294467188554696,
-7.95,-5.030456376268226,0.0029195436237317743,
-7.94,-5.030359178657486,0.0029096408213425146,
-7.93,-5.03026168634252,0.0028997383136574796,
-7.92,-5.030163897333652,0.0028898361026663483,
-7.91,-5.030065809621044,0.0028799341903789554,
-7.9,-5.029967421174434,0.0028700325788255663,
-7.89,-5.029868729942849,0.002860131270057151,
-7.88,-5.0297697338543275,0.002850230266145673,
-7.87,-5.029670430815633,0.0028403295691843667,
-7.86,-5.0295708187119645,0.002830429181288036,
-7.85,-5.029470895406654,0.0028205291045933466,
