V1.V,V(V_D),I(D1.nA),
-5,-4.99999748,-2.52e-9,
-4.99,-4.98999748,-2.52e-9,
-4.98,-4.979997480000001,-2.52e-9,
-4.97,-4.96999748,-2.52e-9,
-4.96,-4.95999748,-2.52e-9,
-4.95,-4.94999748,-2.52e-9,
-4.94,-4.939997480000001,-2.52e-9,
-4.93,-4.92999748,-2.52e-9,
-4.92,-4.91999748,-2.52e-9,
-4.91,-4.90999748,-2.52e-9,
-4.9,-4.899997480000001,-2.52e-9,
-4.89,-4.88999748,-2.52e-9,
-4.88,-4.87999748,-2.52e-9,
-4.87,-4.86999748,-2.52e-9,
-4.86,-4.8599974800000005,-2.52e-9,
-4.85,-4.84999748,-2.52e-9,
-4.84,-4.83999748,-2.52e-9,
-4.83,-4.82999748,-2.52e-9,
-4.82,-4.8199974800000005,-2.52e-9,
-4.81,-4.80999748,-2.52e-9,
-4.8,-4.79999748,-2.52e-9,
-4.79,-4.78999748,-2.52e-9,
-4.78,-4.7799974800000005,-2.52e-9,
-4.77,-4.76999748,-2.52e-9,
-4.76,-4.75999748,-2.52e-9,
-4.75,-4.74999748,-2.52e-9,
-4.74,-4.73999748,-2.52e-9,
-4.73,-4.729997480000001,-2.52e-9,
-4.72,-4.71999748,-2.52e-9,
-4.71,-4.70999748,-2.52e-9,
-4.7,-4.69999748,-2.52e-9,
-4.69,-4.689997480000001,-2.52e-9,
-4.68,-4.67999748,-2.52e-9,
-4.67,-4.66999748,-2.52e-9,
-4.66,-4.65999748,-2.52e-9,
-4.65,-4.649997480000001,-2.52e-9,
-4.64,-4.63999748,-2.52e-9,
-4.63,-4.62999748,-2.52e-9,
-4.62,-4.61999748,-2.52e-9,
-4.61,-4.6099974800000005,-2.52e-9,
-4.6,-4.59999748,-2.52e-9,
-4.59,-4.58999748,-2.52e-9,
-4.58,-4.57999748,-2.52e-9,
-4.57,-4.5699974800000005,-2.52e-9,
-4.56,-4.55999748,-2.52e-9,
-4.55,-4.54999748,-2.52e-9,
-4.54,-4.53999748,-2.52e-9,
-4.53,-4.5299974800000005,-2.52e-9,
-4.52,-4.51999748,-2.52e-9,
-4.51,-4.50999748,-2.52e-9,
-4.5,-4.49999748,-2.52e-9,
-4.49,-4.48999748,-2.52e-9,
-4.48,-4.479997480000001,-2.52e-9,
-4.47,-4.46999748,-2.52e-9,
-4.46,-4.45999748,-2.52e-9,
-4.45,-4.44999748,-2.52e-9,
-4.44,-4.439997480000001,-2.52e-9,
-4.43,-4.42999748,-2.52e-9,
-4.42,-4.41999748,-2.52e-9,
-4.41,-4.40999748,-2.52e-9,
-4.4,-4.399997480000001,-2.52e-9,
-4.39,-4.38999748,-2.52e-9,
-4.38,-4.37999748,-2.52e-9,
-4.37,-4.36999748,-2.52e-9,
-4.36,-4.3599974800000005,-2.52e-9,
-4.35,-4.34999748,-2.52e-9,
-4.34,-4.33999748,-2.52e-9,
-4.33,-4.32999748,-2.52e-9,
-4.32,-4.3199974800000005,-2.52e-9,
-4.31,-4.30999748,-2.52e-9,
-4.3,-4.29999748,-2.52e-9,
-4.29,-4.28999748,-2.52e-9,
-4.28,-4.2799974800000005,-2.52e-9,
-4.27,-4.26999748,-2.52e-9,
-4.26,-4.25999748,-2.52e-9,
-4.25,-4.24999748,-2.52e-9,
-4.24,-4.23999748,-2.52e-9,
-4.23,-4.229997480000001,-2.52e-9,
-4.22,-4.21999748,-2.52e-9,
-4.21,-4.20999748,-2.52e-9,
-4.2,-4.19999748,-2.52e-9,
-4.19,-4.189997480000001,-2.52e-9,
-4.18,-4.17999748,-2.52e-9,
-4.17,-4.16999748,-2.52e-9,
-4.16,-4.15999748,-2.52e-9,
-4.15,-4.149997480000001,-2.52e-9,
-4.14,-4.13999748,-2.52e-9,
-4.13,-4.12999748,-2.52e-9,
-4.12,-4.11999748,-2.52e-9,
-4.11,-4.1099974800000005,-2.52e-9,
-4.1,-4.09999748,-2.52e-9,
-4.09,-4.08999748,-2.52e-9,
-4.08,-4.07999748,-2.52e-9,
-4.07,-4.0699974800000005,-2.52e-9,
-4.06,-4.05999748,-2.52e-9,
-4.05,-4.04999748,-2.52e-9,
-4.04,-4.03999748,-2.52e-9,
-4.03,-4.0299974800000005,-2.52e-9,
-4.02,-4.01999748,-2.52e-9,
-4.01,-4.00999748,-2.52e-9,
-4,-3.99999748,-2.52e-9,
-3.99,-3.9899974800000004,-2.52e-9,
-3.98,-3.97999748,-2.52e-9,
-3.97,-3.9699974800000004,-2.52e-9,
-3.96,-3.95999748,-2.52e-9,
-3.95,-3.9499974800000004,-2.52e-9,
-3.94,-3.93999748,-2.52e-9,
-3.93,-3.9299974800000004,-2.52e-9,
-3.92,-3.91999748,-2.52e-9,
-3.91,-3.9099974800000004,-2.52e-9,
-3.9,-3.89999748,-2.52e-9,
-3.89,-3.8899974800000003,-2.52e-9,
-3.88,-3.87999748,-2.52e-9,
-3.87,-3.8699974800000003,-2.52e-9,
-3.86,-3.85999748,-2.52e-9,
-3.85,-3.8499974800000003,-2.52e-9,
-3.84,-3.83999748,-2.52e-9,
-3.83,-3.8299974800000003,-2.52e-9,
-3.82,-3.81999748,-2.52e-9,
-3.81,-3.8099974800000003,-2.52e-9,
-3.8,-3.79999748,-2.52e-9,
-3.79,-3.7899974800000003,-2.52e-9,
-3.78,-3.77999748,-2.52e-9,
-3.77,-3.7699974800000002,-2.52e-9,
-3.76,-3.75999748,-2.52e-9,
-3.75,-3.74999748,-2.52e-9,
-3.74,-3.7399974800000004,-2.52e-9,
-3.73,-3.72999748,-2.52e-9,
-3.72,-3.7199974800000004,-2.52e-9,
-3.71,-3.70999748,-2.52e-9,
-3.7,-3.6999974800000004,-2.52e-9,
-3.69,-3.68999748,-2.52e-9,
-3.68,-3.6799974800000004,-2.52e-9,
-3.67,-3.66999748,-2.52e-9,
-3.66,-3.6599974800000004,-2.52e-9,
-3.65,-3.64999748,-2.52e-9,
-3.64,-3.6399974800000003,-2.52e-9,
-3.63,-3.62999748,-2.52e-9,
-3.62,-3.6199974800000003,-2.52e-9,
-3.61,-3.60999748,-2.52e-9,
-3.6,-3.5999974800000003,-2.52e-9,
-3.59,-3.58999748,-2.52e-9,
-3.58,-3.5799974800000003,-2.52e-9,
-3.57,-3.56999748,-2.52e-9,
-3.56,-3.5599974800000003,-2.52e-9,
-3.55,-3.54999748,-2.52e-9,
-3.54,-3.5399974800000003,-2.52e-9,
-3.53,-3.52999748,-2.52e-9,
-3.52,-3.5199974800000002,-2.52e-9,
-3.51,-3.50999748,-2.52e-9,
-3.5,-3.49999748,-2.52e-9,
-3.49,-3.4899974800000004,-2.52e-9,
-3.48,-3.47999748,-2.52e-9,
-3.47,-3.4699974800000004,-2.52e-9,
-3.46,-3.45999748,-2.52e-9,
-3.45,-3.4499974800000004,-2.52e-9,
-3.44,-3.43999748,-2.52e-9,
-3.43,-3.4299974800000004,-2.52e-9,
-3.42,-3.41999748,-2.52e-9,
-3.41,-3.4099974800000004,-2.52e-9,
-3.4,-3.39999748,-2.52e-9,
-3.39,-3.3899974800000003,-2.52e-9,
-3.38,-3.37999748,-2.52e-9,
-3.37,-3.3699974800000003,-2.52e-9,
-3.36,-3.35999748,-2.52e-9,
-3.35,-3.3499974800000003,-2.52e-9,
-3.34,-3.33999748,-2.52e-9,
-3.33,-3.3299974800000003,-2.52e-9,
-3.32,-3.31999748,-2.52e-9,
-3.31,-3.3099974800000003,-2.52e-9,
-3.3,-3.29999748,-2.52e-9,
-3.29,-3.2899974800000003,-2.52e-9,
-3.28,-3.27999748,-2.52e-9,
-3.27,-3.2699974800000002,-2.52e-9,
-3.26,-3.25999748,-2.52e-9,
-3.25,-3.24999748,-2.52e-9,
-3.24,-3.2399974800000004,-2.52e-9,
-3.23,-3.22999748,-2.52e-9,
-3.22,-3.2199974800000004,-2.52e-9,
-3.21,-3.20999748,-2.52e-9,
-3.2,-3.1999974800000004,-2.52e-9,
-3.19,-3.18999748,-2.52e-9,
-3.18,-3.1799974800000004,-2.52e-9,
-3.17,-3.16999748,-2.52e-9,
-3.16,-3.1599974800000004,-2.52e-9,
-3.15,-3.14999748,-2.52e-9,
-3.14,-3.1399974800000003,-2.52e-9,
-3.13,-3.12999748,-2.52e-9,
-3.12,-3.1199974800000003,-2.52e-9,
-3.11,-3.10999748,-2.52e-9,
-3.1,-3.0999974800000003,-2.52e-9,
-3.09,-3.08999748,-2.52e-9,
-3.08,-3.0799974800000003,-2.52e-9,
-3.07,-3.06999748,-2.52e-9,
-3.06,-3.0599974800000003,-2.52e-9,
-3.05,-3.04999748,-2.52e-9,
-3.04,-3.0399974800000003,-2.52e-9,
-3.03,-3.02999748,-2.52e-9,
-3.02,-3.0199974800000002,-2.52e-9,
-3.01,-3.00999748,-2.52e-9,
-3,-2.99999748,-2.52e-9,
-2.99,-2.9899974800000004,-2.52e-9,
-2.98,-2.97999748,-2.52e-9,
