Vs.V,V(V2),V(Vs),I(D1.nA),
0,0,0,0,
0.1,0.09997888993835916,0.1,2.1110061640845816e-8,
0.2,0.19993549639388583,0.2,6.450360611418378e-8,
0.3,0.29984636815979643,0.3,1.5363184020357207e-7,
0.4,0.3996634820893286,0.4,3.365179106714329e-7,
0.5,0.4992889792125349,0.5,7.110207874651175e-7,
0.6,0.5985253045913486,0.6,0.000001474695408651381,
0.7,0.6969810913432878,0.7,0.0000030189086567122108,
0.8,0.7939095553401853,0.8,0.0000060904446598147666,
0.9,0.8879850544086088,0.9,0.000012014945591391282,
1,0.9771461374838091,1,0.00002285386251619094,
1.1,1.0588375306323083,1.1,0.00004116246936769179,
1.2,1.1308830905093528,1.2,0.0000691169094906473,
1.3,1.1924474409117263,1.3,0.00010755255908827373,
1.4,1.2441710068749845,1.4,0.0001558289931250153,
1.5,1.2875247273321109,1.5,0.00021247527266788922,
1.6,1.3241284527290949,1.6,0.00027587154727090526,
1.7,1.3554009701711114,1.7,0.0003445990298288886,
1.8,1.3824712930533116,1.8,0.0004175287069466884,
1.9,1.4062041186698404,1.9,0.0004937958813301596,
2,1.4272547724051958,2,0.0005727452275948043,
2.1,1.4461213475428545,2.1,0.0006538786524571457,
2.2,1.463185940718328,2.2,0.000736814059281672,
2.3,1.478745183817046,2.3,0.0008212548161829538,
2.4,1.4930323225017357,2.4,0.0009069676774982643,
2.5,1.506233104398419,2.5,0.000993766895601581,
2.6,1.518497311150837,2.6,0.001081502688849163,
2.7,1.529946907593193,2.7,0.0011700530924068071,
2.8,1.5406825723755775,2.8,0.0012593174276244224,
2.9,1.5507880209604106,2.9,0.0013492119790395893,
3,1.560333551316172,3,0.001439666448683828,
3.1,1.569378687451964,3.1,0.001530621312548036,
3.2,1.5779742182909553,3.2,0.001622025781709045,
3.3,1.5861637868261254,3.3,0.0017138362131738744,
3.4,1.593985141061313,3.4,0.001806014858938687,
3.5,1.6014711279359102,3.5,0.0018985288720640898,
3.6,1.6086504899864191,3.6,0.001991349510013581,
3.7,1.6155485091686579,3.7,0.0020844514908313423,
3.8,1.6221875311950211,3.8,0.0021778124688049787,
3.9,1.6285873956678976,3.9,0.0022714126043321026,
4,1.6347657913447182,4,0.0023652342086552818,
4.1,1.6407385514502677,4.1,0.002459261448549732,
4.2,1.6465199006365376,4.2,0.0025534800993634627,
4.3,1.652122662682099,4.3,0.002647877337317901,
4.4,1.6575584361095408,4.4,0.0027424415638904595,
4.5,1.6628377434284405,4.5,0.0028371622565715594,
4.6,1.667970158571838,4.6,0.0029320298414281616,
4.7,1.6729644162052182,4.7,0.003027035583794782,
4.8,1.6778285058888123,4.8,0.0031221714941111877,
4.9,1.6825697535220543,4.9,0.003217430246477946,
5,1.6871948920600097,5,0.00331280510793999,
5.1,1.691710123140319,5.1,0.003408289876859681,
5.2,1.696121170976577,5.2,0.003503878829023423,
5.3,1.7004333296454472,5.3,0.0035995666703545525,
5.4,1.704651504708927,5.4,0.0036953484952910736,
5.5,1.7087802499613185,5.5,0.0037912197500386815,
5.6,1.7128237999657763,5.6,0.0038871762000342236,
5.7,1.7167860989425232,5.7,0.003983213901057477,
5.8,1.7206708264857005,5.8,0.0040793291735143,
5.9,1.7244814205150227,5.9,0.004175518579484978,
6,1.7282210978093409,6,0.004271778902190659,
6.1,1.7318928724196916,6.1,0.004368107127580308,
6.2,1.7354995722177622,6.2,0.004464500427782238,
6.3,1.7390438538005784,6.3,0.004560956146199421,
6.4,1.7425282159424396,6.4,0.004657471784057561,
6.5,1.7459550117598501,6.5,0.00475404498824015,
6.6,1.74932645973366,6.6,0.00485067354026634,
6.7,1.7526446537141909,6.7,0.0049473553462858096,
6.8,1.75591157201935,6.8,0.00504408842798065,
6.9,1.759129085722157,6.9,0.005140870914277843,
7,1.7622989662124058,7,0.005237701033787594,
7.1,1.765422892107079,7.1,0.005334577107892921,
7.2,1.7685024555753688,7.2,0.005431497544424632,
7.3,1.7715391681365464,7.3,0.005528460831863454,
7.4,1.7745344659823041,7.4,0.005625465534017696,
7.5,1.7774897148694093,7.5,0.005722510285130591,
7.6,1.7804062146234614,7.6,0.005819593785376539,
7.7,1.7832852032901045,7.7,0.005916714796709896,
7.8,1.7861278609661642,7.8,0.006013872139033836,
7.9,1.788935313339756,7.9,0.0061110646866602445,
8,1.7917086349653897,8,0.0062082913650346105,
8.1,1.7944488522974251,8.1,0.0063055511477025745,
8.2,1.7971569465028896,8.2,0.00640284305349711,
8.3,1.7998338560725589,8.3,0.006500166143927442,
8.4,1.8024804792473548,8.4,0.0065975195207526455,
8.5,1.80509767627546,8.5,0.00669490232372454,
8.6,1.8076862715140725,8.6,0.006792313728485927,
8.7,1.8102470553884158,8.7,0.006889752944611583,
8.8,1.8127807862194407,8.8,0.00698721921378056,
8.9,1.8152881919306012,8.9,0.007084711808069399,
9,1.8177699716431488,9,0.007182230028356851,
