Vs.V,V(V2),V(Vs),I(R2.nA),
0,0,0,0,
0.1,0.06666666666666667,0.1,0.000033333333333333335,
0.2,0.13333333333333333,0.2,0.00006666666666666667,
0.3,0.19999999999999998,0.3,0.00009999999999999999,
0.4,0.26666666666666666,0.4,0.00013333333333333334,
0.5,0.3333333333333333,0.5,0.00016666666666666666,
0.6,0.39999999999999997,0.6,0.00019999999999999998,
0.7,0.4666666666666666,0.7,0.0002333333333333333,
0.8,0.5333333333333333,0.8,0.0002666666666666667,
0.9,0.6,0.8999999999999999,0.0003,
1,0.6666666666666666,1,0.0003333333333333333,
1.1,0.7333333333333334,1.1,0.0003666666666666667,
1.2,0.7999999999999999,1.2,0.00039999999999999996,
1.3,0.8666666666666667,1.3,0.00043333333333333337,
1.4,0.9333333333333332,1.4,0.0004666666666666666,
1.5,1,1.5,0.0005,
1.6,1.0666666666666667,1.6,0.0005333333333333334,
1.7,1.1333333333333333,1.7,0.0005666666666666667,
1.8,1.2,1.7999999999999998,0.0006,
1.9,1.2666666666666666,1.9,0.0006333333333333333,
2,1.3333333333333333,2,0.0006666666666666666,
2.1,1.4000000000000001,2.1,0.0007000000000000001,
2.2,1.4666666666666668,2.2,0.0007333333333333334,
2.3,1.5333333333333332,2.3,0.0007666666666666666,
2.4,1.5999999999999999,2.4,0.0007999999999999999,
2.5,1.6666666666666667,2.5,0.0008333333333333334,
2.6,1.7333333333333334,2.6,0.0008666666666666667,
2.7,1.8,2.7,0.0009000000000000001,
2.8,1.8666666666666665,2.8,0.0009333333333333332,
2.9,1.9333333333333333,2.9,0.0009666666666666667,
3,2,3,0.001,
3.1,2.066666666666667,3.1000000000000005,0.0010333333333333334,
3.2,2.1333333333333333,3.2,0.0010666666666666667,
3.3,2.1999999999999997,3.3,0.0010999999999999998,
3.4,2.2666666666666666,3.4,0.0011333333333333334,
3.5,2.3333333333333335,3.5,0.0011666666666666668,
3.6,2.4,3.5999999999999996,0.0012,
3.7,2.466666666666667,3.7,0.0012333333333333335,
3.8,2.533333333333333,3.8,0.0012666666666666666,
3.9,2.6,3.9000000000000004,0.0013000000000000002,
4,2.6666666666666665,4,0.0013333333333333333,
4.1,2.733333333333333,4.1,0.0013666666666666664,
4.2,2.8000000000000003,4.2,0.0014000000000000002,
4.3,2.8666666666666667,4.3,0.0014333333333333333,
4.4,2.9333333333333336,4.4,0.001466666666666667,
4.5,3,4.5,0.0015,
4.6,3.0666666666666664,4.6,0.0015333333333333332,
4.7,3.1333333333333333,4.7,0.0015666666666666667,
4.8,3.1999999999999997,4.8,0.0015999999999999999,
4.9,3.266666666666667,4.9,0.0016333333333333336,
5,3.3333333333333335,5,0.0016666666666666668,
5.1,3.4,5.1,0.0017,
5.2,3.466666666666667,5.2,0.0017333333333333335,
5.3,3.533333333333333,5.3,0.0017666666666666666,
5.4,3.6,5.4,0.0018000000000000002,
5.5,3.6666666666666665,5.5,0.0018333333333333333,
5.6,3.733333333333333,5.6,0.0018666666666666664,
5.7,3.8000000000000003,5.7,0.0019000000000000002,
5.8,3.8666666666666667,5.8,0.0019333333333333333,
5.9,3.9333333333333336,5.9,0.001966666666666667,
6,4,6,0.002,
6.1,4.066666666666666,6.1,0.002033333333333333,
6.2,4.133333333333334,6.200000000000001,0.0020666666666666667,
6.3,4.2,6.300000000000001,0.0021000000000000003,
6.4,4.266666666666667,6.4,0.0021333333333333334,
6.5,4.333333333333333,6.5,0.0021666666666666666,
6.6,4.3999999999999995,6.6,0.0021999999999999997,
6.7,4.466666666666667,6.7,0.0022333333333333333,
6.8,4.533333333333333,6.8,0.002266666666666667,
6.9,4.6000000000000005,6.9,0.0023000000000000004,
7,4.666666666666667,7,0.0023333333333333335,
7.1,4.733333333333333,7.1,0.0023666666666666667,
7.2,4.8,7.199999999999999,0.0024,
7.3,4.866666666666666,7.299999999999999,0.0024333333333333334,
7.4,4.933333333333334,7.4,0.002466666666666667,
7.5,5,7.5,0.0025,
7.6,5.066666666666666,7.6,0.002533333333333333,
7.7,5.133333333333334,7.700000000000001,0.0025666666666666667,
7.8,5.2,7.800000000000001,0.0026000000000000003,
7.9,5.266666666666667,7.9,0.0026333333333333334,
8,5.333333333333333,8,0.0026666666666666666,
8.1,5.3999999999999995,8.1,0.0026999999999999997,
8.2,5.466666666666666,8.2,0.002733333333333333,
8.3,5.533333333333334,8.3,0.0027666666666666673,
8.4,5.6000000000000005,8.4,0.0028000000000000004,
8.5,5.666666666666667,8.5,0.0028333333333333335,
8.6,5.733333333333333,8.6,0.0028666666666666667,
8.7,5.8,8.7,0.0029,
8.8,5.866666666666667,8.8,0.002933333333333334,
8.9,5.933333333333334,8.9,0.002966666666666667,
9,6,9,0.003,
