P2.K,V(B),I(I_B.nA),
0.05,0.6175978274101346,0.0000013233927581184244,
0.051,0.6199448302261019,0.0000014498496148055409,
0.052,0.6221229603151077,0.0000015779921253803596,
0.053,0.6241532177547899,0.0000017076103567625247,
0.054,0.6260531035342507,0.000001838529356588572,
0.055,0.6278373566254529,0.0000019706017847273666,
0.056,0.6295184541830366,0.0000021037029126630975,
0.057,0.6311070416789303,0.000002237726323428219,
0.058,0.6326122618466294,0.0000023725806231221062,
0.059,0.634042015470206,0.00000250818683378388,
0.06,0.6354031696934552,0.000002644476310910242,
0.061,0.6367017256398906,0.0000027813890677454157,
0.062,0.6379429542583575,0.000002918872417221418,
0.063,0.6391315071768714,0.000003056879863742526,
0.064,0.6402715077596975,0.0000031953701928789837,
0.065,0.6413666263741591,0.00000333430671891693,
0.066,0.6424201429784138,0.000003473656659161325,
0.067,0.6434349994627431,0.000003613390610673618,
0.068,0.6444138436589576,0.0000037534821103038005,
0.069,0.6453590665346325,0.000003893907262854172,
0.07,0.646272833781227,0.000004034644425287903,
0.071,0.6471571127656981,0.000004175673937289085,
0.072,0.6480136956277206,0.00000431697789035555,
0.073,0.6488442191568992,0.000004458539929082372,
0.074,0.6496501819672812,0.0000046003450794646,
0.075,0.6504329593931808,0.000004742379599980256,
0.076,0.6511938164555519,0.000004884630851962337,
0.077,0.6519339191879174,0.00000502708718637053,
0.078,0.6526543445621097,0.000005169737844560844,
0.079,0.6533560892143863,0.000005312572871048046,
0.08,0.6540400771400829,0.000005455583036579839,
0.081,0.6547071664983242,0.000005598759770107943,
0.082,0.6553581556463693,0.000005742095098460634,
0.083,0.6559937885049949,0.000005885581592703096,
0.084,0.6566147593411974,0.000006029212320322905,
0.085,0.6572217170418995,0.000006172980802504086,
0.086,0.6578152689417716,0.000006316880975858794,
0.087,0.6583959842594083,0.000006460907158074358,
0.088,0.6589643971886077,0.000006605054017008351,
0.089,0.6595210096851641,0.000006749316542827724,
0.09,0.6600662939842016,0.0000068936900228417705,
0.091,0.6606006948784984,0.000007038170018724551,
0.092,0.6611246317843367,0.0000071827523458615235,
0.093,0.6616385006180521,0.000007327433054588607,
0.094,0.662142675503592,0.000007472208413120787,
0.095,0.6626375103288973,0.000007617074891992027,
0.096,0.663123348722393,0.000007762029064367952,
0.097,0.663600489870064,0.000007907067947571109,
0.098,0.664069245016591,0.000008052188438550051,
0.099,0.6645299001238036,0.000008197387686966256,
0.1,0.6649827269274016,0.000008342662984715617,
0.101,0.6654279838564098,0.00000848801175673597,
0.102,0.6658659168809619,0.000008633431552531183,
0.103,0.6662967602941129,0.000008778920038354795,
0.104,0.6667207374336971,0.000008924474989993025,
0.105,0.667138061349633,0.00000907009428609321,
0.106,0.667548935421515,0.000009215775901989228,
0.107,0.6679535539308448,0.000009361517903980424,
0.108,0.668352102591819,0.000009507318444024865,
0.109,0.6687447590441998,0.000009653175754811687,
0.11,0.6691316933114597,0.000009799088145180618,
0.111,0.669513068227074,0.000009945053995859903,
0.112,0.6698890398315733,0.000010091071755496646,
0.113,0.6702597577427136,0.000010237139936955822,
0.114,0.6706253655009095,0.00001038325711386667,
0.115,0.6709860008918789,0.000010529421917396864,
0.116,0.67134179624827,0.000010675633033236856,
0.117,0.6716928787318852,0.000010821889198778174,
0.118,0.6720393705979735,0.000010968189200471031,
0.119,0.672381389442935,0.000011114531871347717,
0.12,0.6727190484366679,0.000011260916088699601,
0.121,0.6730524565406774,0.000011407340771896427,
0.122,0.673381718712981,0.000011553804880337643,
0.123,0.6737069361007512,0.00001170030741152633,
0.124,0.6740282062215621,0.00001184684739925706,
0.125,0.6743456231340385,0.0000119934239119097,
0.126,0.6746592775986353,0.000012140036050841907,
0.127,0.6749692572292274,0.000012286682948873492,
0.128,0.675275646636125,0.000012433363768856508,
0.129,0.6755785275610923,0.000012580077702325297,
0.13,0.6758779790048935,0.000012726823968221222,
0.131,0.6761740773478623,0.000012873601811687207,
0.132,0.6764668964639369,0.000013020410502927534,
0.133,0.676756507828587,0.000013167249336128764,
0.134,0.6770429806210171,0.000013314117628437862,
0.135,0.6773263818210041,0.00001346101471899398,
0.136,0.6776067763007044,0.000013607939968010503,
0.137,0.6778842269117391,0.000013754892755904353,
0.138,0.6781587945678448,0.000013901872482469587,
0.139,0.6784305383233569,0.000014048878566092695,
0.14,0.6786995154477757,0.00001419591044300703,
0.141,0.6789657814966447,0.00001434296756658413,
0.142,0.6792293903789584,0.000014490049406659741,
0.143,0.6794903944213014,0.000014637155448892503,
0.144,0.6797488444289064,0.000014784285194153471,
0.145,0.6800047897438025,0.00001493143815794468,
0.146,0.6802582783002273,0.000015078613869845126,
0.147,0.6805093566774443,0.000015225811872982644,
0.148,0.6807580701501184,0.000015373031723530212,
0.149,0.6810044627363778,0.000015520272990225403,
0.15,0.6812485772436933,0.00001566753525391165,
0.151,0.6814904553126856,0.000015814818107100203,
0.152,0.681730137458979,0.000015962121153551683,
0.153,0.6819676631131998,0.00001610944400787608,
0.154,0.6822030706592191,0.000016256786295150438,
0.155,0.6824363974707308,0.000016404147650553074,
0.156,0.6826676799462503,0.00001655152771901362,
0.157,0.6828969535426164,0.000016698926154878075,
0.158,0.6831242528070705,0.000016846342621588023,
0.159,0.6833496114079856,0.000016993776791373383,
0.16,0.6835730621643133,0.00001714122834495796,
0.161,0.683794637073811,0.000017288696971277205,
0.162,0.6840143673401096,0.00001743618236720756,
0.163,0.6842322833986787,0.000017583684237306843,
0.164,0.6844484149417425,0.00001773120229356509,
0.165,0.6846627909421968,0.00001787873625516543,
0.166,0.6848754396765742,0.00001802628584825443,
0.167,0.6850863887471017,0.00001817385080572155,
0.168,0.685295665102897,0.000018321430866987206,
0.169,0.6855032950603382,0.000018469025777799053,
0.17,0.6857093043226491,0.000018616635290036207,
0.171,0.6859137179987339,0.00001876425916152084,
0.172,0.6861165606212979,0.00001891189715583706,
0.173,0.6863178561642825,0.00001905954904215651,
0.174,0.6865176280596483,0.000019207214595070593,
0.175,0.6867158992135364,0.000019354893594428838,
0.176,0.6869126920218298,0.00001950258582518332,
0.177,0.6871080283851478,0.000019650291077238708,
0.178,0.6873019297232948,0.000019798009145307805,
0.179,0.6874944169891859,0.000019945739828772277,
0.18,0.6876855106822739,0.000020093482931548395,
0.181,0.6878752308615,0.00002024123826195758,
0.182,0.6880635971577839,0.000020389005632601404,
0.183,0.6882506287860777,0.000020536784860241192,
0.184,0.6884363445569982,0.000020684575765681582,
0.185,0.6886207628880572,0.000020832378173658323,
0.186,0.6888039018145052,0.000020980191912729763,
0.187,0.6889857789998048,0.000021128016815172185,
0.188,0.6891664117457487,0.00002127585271687859,
0.189,0.6893458170022364,0.00002142369945726094,
0.19,0.6895240113767251,0.00002157155687915567,
0.191,0.6897010111433628,0.000021719424828732356,
0.192,0.6898768322518242,0.000021867303155405326,
0.193,0.6900514903358523,0.0000220151917117483,
0.194,0.6902250007215244,0.000022163090353411667,
0.195,0.6903973784352482,0.000022310998939042618,
0.196,0.6905686382115015,0.000022458917330207642,
0.197,0.6907387945003242,0.000022606845391317697,
0.198,0.6909078614745712,0.000022754782989555628,
0.199,0.6910758530369372,0.00002290272999480596,
0.2,0.6912427828267597,0.000023050686279586807,
0.201,0.6914086642266112,0.000023198651718984057,
0.202,0.6915735103686854,0.000023346626190587376,
0.203,0.6917373341409873,0.00002349460957442844,
0.204,0.6919001481933333,0.00002364260175292083,
0.205,0.6920619649431694,0.000023790602610801904,
0.206,0.6922227965812114,0.0000239386120350764,
0.207,0.6923826550769178,0.000024086629914961676,
0.208,0.6925415521837958,0.000024234656141834664,
0.209,0.6926994994445534,0.000024382690609180362,
0.21,0.6928565081960961,0.000024530733212541846,
0.211,0.6930125895743767,0.000024678783849471784,
0.212,0.6931677545191065,0.000024826842419485328,
0.213,0.6933220137783254,0.0000249749088240144,
0.214,0.6934753779128431,0.00002512298296636328,
0.215,0.6936278573005513,0.000025271064751665495,
0.216,0.693779462140613,0.000025419154086841924,
0.217,0.6939302024575326,0.000025567250880560102,
0.218,0.6940800881051116,0.000025715355043194613,
0.219,0.6942291287702924,0.000025863466486788735,
0.22,0.6943773339768957,0.000026011585125017007,
0.221,0.6945247130892529,0.000026159710873148898,
0.222,0.694671275315739,0.000026307843648013547,
0.223,0.6948170297122079,0.000026455983367965304,
0.224,0.6949619851853349,0.000026604129952850406,
0.225,0.6951061504958662,0.000026752283323974407,
0.226,0.6952495342617828,0.00002690044340407058,
0.227,0.6953921449613779,0.000027048610117269134,
0.228,0.6955339909362531,0.000027196783389067237,
0.229,0.6956750803942332,0.000027344963146299885,
0.23,0.6958154214122051,0.00002749314931711149,
0.231,0.6959550219388821,0.000027641341830928277,
0.232,0.6960938897974956,0.000027789540618431313,
0.233,0.6962320326884152,0.000027937745611530346,
0.234,0.6963694581917029,0.00002808595674333824,
0.235,0.6965061737696007,0.00002823417394814612,
0.236,0.6966421867689537,0.00002838239716139911,
0.237,0.6967775044235727,0.000028530626319672733,
0.238,0.6969121338565346,0.000028678861360649886,
0.239,0.6970460820824274,0.00002882710222309841,
0.24,0.6971793560095365,0.000028975348846849207,
0.241,0.6973119624419772,0.00002912360117277493,
0.242,0.6974439080817744,0.000029271859142769163,
0.243,0.6975751995308895,0.000029420122699726183,
0.244,0.6977058432931995,0.000029568391787521143,
0.245,0.6978358457764248,0.000029716666350990795,
0.246,0.6979652132940118,0.00002986494633591467,
0.247,0.6980939520669702,0.00003001323168899672,
0.248,0.6982220682256634,0.000030161522357847377,
0.249,0.6983495678115579,0.00003030981829096609,
0.25,0.6984764567789309,0.00003045811943772421,
0.251,0.6986027409965355,0.00003060642574834841,
0.252,0.6987284262492282,0.00003075473717390433,
0.253,0.6988535182395559,0.000030903053666280735,
0.254,0.6989780225893081,0.00003105137517817402,
0.255,0.6991019448410313,0.000031199701663073026,
0.256,0.6992252904595072,0.00003134803307524427,
0.257,0.699348064833199,0.00003149636936971749,
0.258,0.6994702732756625,0.00003164471050227154,
0.259,0.6995919210269251,0.000031793056429420556,
0.26,0.6997130132548341,0.00003194140710840054,
0.261,0.6998335550563729,0.000032089762497156124,
0.262,0.6999535514589488,0.000032238122554327755,
0.263,0.7000730074216508,0.00003238648723923908,
0.264,0.7001919278364797,0.00003253485651188467,
0.265,0.7003103175295495,0.00003268323033291795,
0.266,0.7004281812622646,0.00003283160866363952,
0.267,0.7005455237324676,0.000032979991465985575,
0.268,0.7006623495755644,0.00003312837870251672,
0.269,0.7007786633656236,0.000033276770336406966,
0.27,0.7008944696164512,0.00003342516633143295,
0.271,0.7010097727826432,0.00003357356665196347,
0.272,0.7011245772606148,0.000033721971262949114,
0.273,0.7012388873896065,0.00003387038012991225,
0.274,0.7013527074526702,0.00003401879321893718,
0.275,0.7014660416776327,0.000034167210496660446,
0.276,0.7015788942380395,0.000034315631930261434,
0.277,0.7016912692540787,0.000034464057487453146,
0.278,0.7018031707934844,0.000034612487136473093,
0.279,0.7019146028724225,0.000034760920846074556,
