RL.R,I(AM1.nA),V(un3),
0,0.5999999999999999,1.2e-15,
100,0.07058823487889275,3.529411743944637,
200,0.03749999976562501,3.7499999765625005,
300,0.025531914730647358,3.8297872095971033,
400,0.019354838584807497,3.870967716961499,
500,0.015584415483218083,3.8961038708045206,
600,0.013043478175803406,3.913043452741021,
700,0.011214953197659186,3.925233619180715,
800,0.009836065509271703,3.934426203708681,
900,0.008759124030049551,3.941605813522298,
1000,0.007894736790166206,3.947368395083103,
1100,0.007185628695184482,3.9520957823514653,
1200,0.006593406549933584,3.9560439299601504,
1300,0.006091370518178774,3.959390836816203,
1400,0.005660377321110716,3.9622641247775015,
1500,0.005286343577403017,3.9647576830522624,
1600,0.004958677653165768,3.9669421225326142,
1700,0.004669260669502945,3.968871569077504,
1800,0.004411764676686852,3.9705882090181666,
1900,0.004181184641309231,3.9721254092437697,
2000,0.0039735099074602,3.9735099074602,
2100,0.003785488933913165,3.9747633806088234,
2200,0.0036144578073740753,3.975903588111483,
2300,0.0034582132335622758,3.976945218596617,
2400,0.0033149171050944727,3.977900526113367,
2500,0.00318302385157146,3.978779814464325,
2600,0.003061224469491879,3.9795918103394423,
2700,0.0029484029288435187,3.9803439539387506,
2800,0.002843601876867097,3.9810426276139355,
2900,0.0027459954051181085,3.9816933374212575,
3000,0.002654867239016368,3.9823008585245523,
3100,0.00256959313069435,3.9828693525762424,
3200,0.002489626539487957,3.983402463180731,
3300,0.002414486905497371,3.983903394070662,
3400,0.0023437499844360353,3.9843749735412604,
3500,0.0022770398330746885,3.9848197078807046,
3600,0.0022140221255157206,3.985239825928297,
3700,0.0021543985494232054,3.98563731643293,
3800,0.0020979020839649865,3.9860139595334743,
3900,0.0020442930017500124,3.9863713534125247,
4000,0.001993355468482688,3.9867109369653764,
4100,0.0019448946386157733,3.9870340091623353,
4200,0.00189873416459702,3.987341745653742,
4300,0.001854714052588454,3.9876352130651758,
4400,0.0018126888097041833,3.9879153813492034,
4500,0.0017725258375533735,3.9881831344950904,
4600,0.0017341040347154937,3.988439279845635,
4700,0.0016973125771182899,3.9886845562279816,
4800,0.0016620498504462062,3.9889196410708947,
4900,0.001628222512919552,3.9891451566529024,
5000,0.0015957446702410596,3.9893616756026486,
5100,0.0015645371473544467,3.989569725753839,
5200,0.0015345268440159342,3.989769794441429,
5300,0.0015056461631368573,3.9899623323126723,
5400,0.001477832502487321,3.9901477567157664,
5500,0.0014510278017162601,3.9903264547197157,
5600,0.0014251781377897892,3.99049878581141,
